tag_name,tag,opacity,fill_l,fill_a,fill_b,stroke_l,stroke_a,stroke_b,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g_12/polyline,0.49960031974420466,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.8204578167434552,0.5019782207515352,0.501926285375673,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svg/g_12/line_67,0.2514738209432454,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.8204578167434552,0.5019782207515352,0.501926285375673,0.1,0.11000000000000001,0.0878972278566599,0.08558262014483214,0.06532877882152006,0.07399007795889441,0.06981212638770282,0.08675342008675344,0.7682926829268294,0.0,0.0,0.11614533431712667
svg/g_12/line_66,0.2514488409272583,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.8204578167434552,0.5019782207515352,0.501926285375673,0.1,0.060000000000000005,0.18424611223799864,0.17939433838051352,0.06532877882152006,0.07328136073706591,0.06945630515229148,0.18184851518184855,0.7073170731707318,0.0,0.0,0.11199984438586791
svg/g_12/line_65,0.251423860911271,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.8204578167434552,0.5019782207515352,0.501926285375673,0.1,0.043333333333333335,0.28025693035835025,0.27287689269256094,0.06532877882152006,0.07328136073706591,0.06945630515229148,0.27660994327661004,0.7073170731707318,0.0,0.0,0.11199984438586791
svg/g_12/line_64,0.25139888089528384,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.8204578167434552,0.5019782207515352,0.501926285375673,0.1,0.035,0.37660581473968896,0.36668861092824234,0.06532877882152006,0.07328136073706591,0.06945630515229148,0.37170503837170515,0.7073170731707318,0.0,0.0,0.11199984438586791
svg/g_12/line_63,0.25137390087929656,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.8204578167434552,0.5019782207515352,0.501926285375673,0.1,0.030000000000000006,0.4722785665990534,0.4598420013166557,0.06532877882152006,0.07328136073706591,0.06945630515229148,0.46613279946613284,0.7073170731707318,0.0,0.0,0.11199984438586791
svg/g_12/line_62,0.2513489208633094,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.8204578167434552,0.5019782207515352,0.501926285375673,0.1,0.02666666666666667,0.5676132521974306,0.5526662277814353,0.06532877882152006,0.07328136073706591,0.06945630515229148,0.560226893560227,0.7073170731707318,0.0,0.0,0.11199984438586791
svg/g_12/line_61,0.2513239408473222,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.8204578167434552,0.5019782207515352,0.501926285375673,0.1,0.024285714285714285,0.6639621365787695,0.6464779460171166,0.06532877882152006,0.07328136073706591,0.06945630515229148,0.6553219886553222,0.7073170731707318,0.0,0.0,0.11199984438586791
svg/g_12/line_60,0.2512989608313349,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.8204578167434552,0.5019782207515352,0.501926285375673,0.1,0.022500000000000003,0.7586206896551724,0.7386438446346282,0.06532877882152006,0.07328136073706591,0.06945630515229148,0.748748748748749,0.7073170731707318,0.0,0.0,0.11199984438586791
svg/g_12/line_59,0.25127398081534774,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.8204578167434552,0.5019782207515352,0.501926285375673,0.1,0.021111111111111115,0.8553076402974983,0.8327847267939436,0.06532877882152006,0.07328136073706591,0.06945630515229148,0.8441775108441777,0.7073170731707318,0.0,0.0,0.11199984438586791
svg/g_12/line_58,0.25124900079936047,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.8204578167434552,0.5019782207515352,0.501926285375673,0.1,0.020000000000000004,0.9631507775524002,0.9572086899275841,0.1372046683746086,0.13664068036853297,0.1372046683746086,0.9604604604604607,0.0,0.05139372822299682,0.0,0.11285280696922897
svg/g_12/line_57,0.25122402078337336,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.8204578167434552,0.5019782207515352,0.501926285375673,0.1,0.019090909090909096,0.9631507775524002,0.9572086899275841,0.6349274124679761,0.6323175053153792,0.6349274124679761,0.9604604604604607,0.0,0.05139372822299682,0.0,0.11285280696922897
svg/g_12/line_56,0.2511990407673861,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.8204578167434552,0.5019782207515352,0.501926285375673,0.1,0.018333333333333333,0.9631507775524002,0.9377880184331798,0.06532877882152006,0.07328136073706591,0.06945630515229148,0.9506172839506174,0.7073170731707318,0.0,0.0,0.11199984438586791
svg/g_12/g_24/path_32,1.0,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.017692307692307695,0.9523326572008111,0.9499670836076368,0.045402789638485624,0.050177179305457134,0.04789353828636494,0.9514514514514516,0.42682926829268353,0.06010452961672504,0.0,0.22448286862820252
svg/g_12/g_24/path_31,0.9999750199840128,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.017769230769230773,0.9540229885057471,0.9483212639894669,0.05394249928835754,0.059248759744861795,0.05671790492456591,0.9514514514514516,0.4756097560975605,0.05139372822299682,0.0,0.20949410763781243
svg/g_12/g_23/path_30,0.9999500399680257,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.017142857142857144,1.0,0.9970375246872943,0.12012524907486477,0.1312544294826364,0.1259607173356106,0.9988321654988325,1.0,0.0618466898954701,0.0,0.23129202675713323
svg/g_12/g_23/path_29,0.9999250599520385,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.017214285714285717,0.9993238674780254,1.0,0.1411898662112155,0.15038979447200565,0.14610019925989184,1.0,0.8414634146341448,0.07142857142857181,0.0,0.24761198388146896
svg/g_12/g_22/path_28,0.9999000799360511,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.01666666666666667,1.0,0.9980250164581963,0.618844292627384,0.6276399716513111,0.6245374323939653,0.9993326659993329,0.9756097560975604,0.06445993031358867,0.0,0.26247705004511906
svg/g_12/g_22/path_27,0.9998750999200641,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.016733333333333336,0.9993238674780254,1.0,0.6399089097637347,0.6470588235294118,0.6448192428124111,1.0,0.84146341463415,0.07142857142857181,0.0,0.24761198388146907
svg/g_12/g_21/path_26,0.9998501199040769,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.01625,0.8444895199459094,0.8449637919684003,0.03700540848277825,0.04181431608788093,0.03949615713065755,0.8450116783450119,0.42682926829268225,0.0601045296167248,0.0,0.22448286862820274
svg/g_12/g_21/path_25,0.9998251398880897,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.0163125,0.8461798512508452,0.8426596445029626,0.046683746085966406,0.04790928419560596,0.04739538855678906,0.8446780113446782,0.12195121951219592,0.04965156794425078,0.0,0.17097500784400135
svg/g_12/g_21/path_24,0.9998001598721024,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.016375,0.845841784989858,0.8433179723502305,0.05394249928835754,0.059248759744861795,0.05671790492456591,0.844844844844845,0.4756097560975605,0.052264808362369346,0.0,0.20964862869444614
svg/g_12/g_20/path_23,0.9997751798561152,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.015882352941176472,0.748816768086545,0.751810401579987,0.03700540848277825,0.04181431608788093,0.03949615713065755,0.750583917250584,0.42682926829268225,0.0601045296167248,0.0,0.22448286862820274
svg/g_12/g_20/path_22,0.999750199840128,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.015941176470588236,0.7498309668695065,0.7495062541145491,0.045402789638485624,0.050602409638554224,0.04810703102761172,0.7499165832499167,0.4634146341463417,0.05139372822299632,0.0,0.20973174134691755
svg/g_12/g_20/path_21,0.9997252198241409,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.016,0.7501690331304935,0.7498354180381832,0.05394249928835754,0.059248759744861795,0.05671790492456591,0.7502502502502504,0.4756097560975605,0.05139372822299682,0.0,0.2095818733122424
svg/g_12/g_19/path_20,0.9997002398081535,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.015555555555555559,0.6528059499661933,0.6583278472679396,0.03700540848277825,0.04181431608788093,0.03949615713065755,0.6558224891558226,0.42682926829268225,0.0601045296167248,0.0,0.22448286862820274
svg/g_12/g_19/path_19,0.9996752597921663,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.015611111111111114,0.6544962812711291,0.6566820276497698,0.04540278963848565,0.05060240963855424,0.048107031027611755,0.6558224891558226,0.4634146341463409,0.05139372822299682,0.0,0.2117890970766267
svg/g_12/g_19/path_18,0.9996502797761792,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.01566666666666667,0.6541582150101419,0.6566820276497697,0.05394249928835754,0.059248759744861795,0.05671790492456591,0.6556556556556558,0.4756097560975605,0.052264808362369346,0.0,0.20964862869444614
svg/g_12/g_18/path_17,0.9996252997601919,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.015263157894736843,0.5571331981068288,0.565174456879526,0.03686307998861372,0.04167257264351523,0.039353828636493025,0.5613947280613949,0.42682926829268225,0.0601045296167248,0.0,0.22448286862820274
svg/g_12/g_18/path_16,0.9996003197442047,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.015315789473684211,0.5588235294117646,0.5625411454904543,0.04511813265015656,0.05102763997165131,0.048178195274694,0.5608942275608944,0.5243902439024388,0.04878048780487825,0.0,0.20512665255312038
svg/g_12/g_18/path_15,0.9995753397282175,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.01536842105263158,0.5584854631507775,0.5631994733377222,0.05394249928835754,0.059248759744861795,0.05671790492456591,0.5610610610610611,0.4756097560975605,0.05139372822299657,0.0,0.20958187331224234
svg/g_12/g_17/path_14,0.9995503597122304,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.015000000000000003,0.4614604462474644,0.4720210664911126,0.03700540848277825,0.04181431608788093,0.03949615713065755,0.46696696696696705,0.42682926829268225,0.0601045296167248,0.0,0.22448286862820274
svg/g_12/g_17/path_13,0.999525379696243,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.015050000000000003,0.4621365787694389,0.4697169190256749,0.045402789638485624,0.05046066619418852,0.04803586678052946,0.46613279946613306,0.451219512195122,0.052264808362369096,0.0,0.2129575440280758
svg/g_12/g_17/path_12,0.9995003996802558,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.015100000000000002,0.4624746450304259,0.4700460829493089,0.05394249928835754,0.059248759744861795,0.05671790492456591,0.4664664664664666,0.4756097560975605,0.052264808362369596,0.0,0.2096486286944462
svg/g_12/g_16/path_11,0.9994754196642687,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.014761904761904764,0.3654496281271129,0.37853851217906526,0.03700540848277825,0.04181431608788093,0.03949615713065755,0.3722055388722056,0.42682926829268225,0.06010452961672467,0.0,0.2244828686282026
svg/g_12/g_16/path_10,0.9994504396482815,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.014809523809523812,0.3668018931710615,0.37656352863726145,0.04540278963848564,0.050602409638554224,0.048107031027611734,0.37187187187187204,0.4634146341463409,0.051393728222996454,0.0,0.21754869914243202
svg/g_12/g_16/path_9,0.9994254596322941,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.014857142857142859,0.3668018931710615,0.37656352863726145,0.05394249928835754,0.059248759744861795,0.05671790492456591,0.371871871871872,0.4756097560975605,0.05139372822299657,0.0,0.2095818733122423
svg/g_12/g_15/path_8,0.9994004796163071,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.014545454545454549,0.2694388100067614,0.2850559578670179,0.03700540848277825,0.04181431608788093,0.03949615713065755,0.2774441107774442,0.42682926829268225,0.06010452961672467,0.0,0.2244828686282026
svg/g_12/g_15/path_7,0.9993754996003199,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.014590909090909094,0.2714672075726842,0.28275181040158004,0.0456874466268147,0.05060240963855423,0.04824935952177627,0.2772772772772773,0.4390243902439024,0.048780487804878134,0.0,0.18781898696653584
svg/g_12/g_15/path_6,0.9993505195843327,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.01463636363636364,0.27079107505071,0.283410138248848,0.05394249928835754,0.059248759744861795,0.05671790492456591,0.2772772772772773,0.4756097560975605,0.05226480836236922,0.0,0.20960006983608948
svg/g_12/g_14/path_5,0.9993255395683454,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.014347826086956523,0.17410412440838405,0.19223173140223834,0.03700540848277825,0.04181431608788093,0.03949615713065755,0.18335001668335008,0.42682926829268225,0.06010452961672474,0.0,0.22448286862820258
svg/g_12/g_14/path_4,0.9993005595523582,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.014391304347826088,0.1751183231913455,0.1902567478604345,0.04540278963848564,0.050744153082919914,0.048178195274694004,0.18284951618284956,0.4756097560975605,0.052264808362369346,0.0,0.22429793700323725
svg/g_12/g_14/path_3,0.999275579536371,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.014434782608695653,0.1751183231913455,0.18992758393680056,0.05394249928835754,0.059248759744861795,0.05671790492456591,0.18268268268268273,0.4756097560975605,0.05139372822299651,0.0,0.2095818733122423
svg/g_12/g_13/path_2,0.9992505995203839,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.014166666666666668,0.0777552400270453,0.09874917709019093,0.03700540848277825,0.04181431608788093,0.03949615713065755,0.08842175508842177,0.42682926829268225,0.0609756097560976,0.0,0.22473296284554534
svg/g_12/g_13/path_1,0.9992256195043965,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.014208333333333335,0.07944557133198106,0.09677419354838711,0.045402789638485624,0.050602409638554224,0.04810703102761172,0.08825492158825494,0.4634146341463409,0.051393728222996544,0.0,0.2176738292687427
svg/g_12/g_13/path,0.9992006394884093,0.1,0.7468876430356249,0.5180854952765099,0.5189318811079227,1e-08,0.5019607882352941,0.5019607882352941,0.1,0.01425,0.07910750507099391,0.09677419354838711,0.05394249928835754,0.059248759744861795,0.05671790492456591,0.0880880880880881,0.4756097560975605,0.052264808362369346,0.0,0.20960006983608953
svg/g_11/line_55,0.2511740607513989,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.2124673129498138,0.5019674082633003,0.501947678470173,0.1,0.1,0.4918864097363083,0.6122448979591838,0.08738969541702249,0.08703047484053862,0.08738969541702249,0.5530530530530532,0.0,0.3527874564459931,0.0,0.21768071461422386
svg/g_11/line_54,0.25114908073541165,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.2124673129498138,0.5019674082633003,0.501947678470173,0.1,0.10500000000000001,0.5676132521974306,0.6464779460171166,0.1040421292342727,0.1036144578313253,0.1040421292342727,0.6077744411077746,0.0,0.2482578397212544,0.0,0.1977394290342757
svg/g_11/line_53,0.2511241007194245,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.2124673129498138,0.5019674082633003,0.501947678470173,0.1,0.11000000000000001,0.5676132521974306,0.6464779460171166,0.12055223455735839,0.12005669737774628,0.12055223455735839,0.6077744411077746,0.0,0.2482578397212544,0.0,0.1977394290342757
svg/g_11/line_52,0.25109912070343726,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.2124673129498138,0.5019674082633003,0.501947678470173,0.1,0.07666666666666666,0.7089249492900608,0.794930875576037,0.1372046683746086,0.13664068036853297,0.1372046683746086,0.7527527527527529,0.0,0.27700348432055766,0.0,0.2039349153060949
svg/g_11/line_51,0.2510741406874501,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.2124673129498138,0.5019674082633003,0.501947678470173,0.1,0.060000000000000005,0.6406355645706558,0.8015141540487164,0.1870196413321947,0.1862508858965273,0.1870196413321947,0.7223890557223892,0.0,0.4703832752613241,0.0,0.2341360523873532
svg/g_11/line_50,0.2510491606714628,0.1,1e-08,0.5019607882352941,0.5019607882352941,0.2124673129498138,0.5019674082633003,0.501947678470173,0.1,0.05000000000000001,0.30155510480054093,0.4391046741277157,0.2533447196128665,0.2523033309709426,0.2533447196128665,0.37137137137137144,0.0,0.3850174216027875,0.0,0.22267058563174355
